Ref,Val,Package,PosX,PosY,Rot,Side
"D35","BAT54J","D_SOD-323F",117.427000,-122.936000,180.000000,top
"D36","BAT54J","D_SOD-323F",117.432000,-138.176000,180.000000,top
"D37","BAT54J","D_SOD-323F",157.051000,-125.476000,180.000000,top
"D38","BAT54J","D_SOD-323F",157.051000,-133.096000,180.000000,top
"D39","BAT54J","D_SOD-323F",157.051000,-130.556000,180.000000,top
"D40","BAT54J","D_SOD-323F",147.145000,-138.176000,180.000000,top
"D41","BAT54J","D_SOD-323F",147.145000,-135.636000,180.000000,top
"D42","BAT54J","D_SOD-323F",147.145000,-133.096000,180.000000,top
"D43","BAT54J","D_SOD-323F",147.145000,-130.556000,180.000000,top
"D44","BAT54J","D_SOD-323F",147.145000,-128.016000,180.000000,top
"D45","BAT54J","D_SOD-323F",147.145000,-125.476000,180.000000,top
"D46","BAT54J","D_SOD-323F",147.145163,-122.936000,180.000000,top
"D47","BAT54J","D_SOD-323F",157.051000,-122.936000,180.000000,top
"D48","BAT54J","D_SOD-323F",157.051000,-138.176000,180.000000,top
"D49","BAT54J","D_SOD-323F",157.051000,-128.016000,180.000000,top
"D50","BAT54J","D_SOD-323F",157.051000,-135.636000,180.000000,top
"D51","BAT54J","D_SOD-323F",166.868000,-130.556000,180.000000,top
"D52","BAT54J","D_SOD-323F",166.868000,-125.476000,180.000000,top
"D53","BAT54J","D_SOD-323F",166.868000,-128.016000,180.000000,top
"D54","BAT54J","D_SOD-323F",166.868000,-122.936000,180.000000,top
"D55","BAT54J","D_SOD-323F",166.868000,-133.096000,180.000000,top
"D56","BAT54J","D_SOD-323F",166.868000,-138.176000,180.000000,top
"D57","BAT54J","D_SOD-323F",166.868000,-135.636000,180.000000,top
"D58","BAT54J","D_SOD-323F",97.615000,-140.716000,180.000000,top
"D59","BAT54J","D_SOD-323F",107.526000,-140.716000,180.000000,top
"D60","BAT54J","D_SOD-323F",117.432000,-140.716000,180.000000,top
"D61","BAT54J","D_SOD-323F",137.234000,-140.716000,180.000000,top
"D62","BAT54J","D_SOD-323F",127.338000,-140.700210,180.000000,top
"D63","BAT54J","D_SOD-323F",157.051000,-140.716000,180.000000,top
"D64","BAT54J","D_SOD-323F",147.145000,-140.716000,180.000000,top
"D65","BAT54J","D_SOD-323F",166.868000,-140.716000,180.000000,top
"J1","PWM","PinHeader_1x03_P2.54mm_Vertical",109.235000,-63.119000,90.000000,top
"J2","DC Supply","BarrelJack_Horizontal",103.409000,-66.098500,0.000000,top
"J26","LED6","PinHeader_2x08_P2.54mm_Vertical",169.037000,-80.826428,90.000000,top
"J27","LED5","PinHeader_2x08_P2.54mm_Vertical",169.037000,-88.410142,90.000000,top
"J28","LED7","PinHeader_2x08_P2.54mm_Vertical",169.037000,-73.242714,90.000000,top
"J29","LED8","PinHeader_2x08_P2.54mm_Vertical",169.037000,-65.659000,90.000000,top
"J30","I2C","JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical_SilkSafe",147.135000,-96.810000,-90.000000,top
"J31","UART","JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical_SilkSafe",147.135000,-109.891000,-90.000000,top
"J32","LED3","PinHeader_2x08_P2.54mm_Vertical",169.037000,-103.577570,90.000000,top
"J33","LED1","PinHeader_2x08_P2.54mm_Vertical",168.910000,-118.745000,90.000000,top
"J34","LED2","PinHeader_2x08_P2.54mm_Vertical",169.037000,-111.161284,90.000000,top
"J35","LED4","PinHeader_2x08_P2.54mm_Vertical",169.037000,-95.993856,90.000000,top
"JR1","ROW1","PinHeader_2x08_P2.54mm_Vertical",93.980000,-140.716000,180.000000,top
"JR2","ROW2","PinHeader_2x08_P2.54mm_Vertical",103.886000,-140.716000,180.000000,top
"JR3","ROW3","PinHeader_2x08_P2.54mm_Vertical",113.792000,-140.716000,180.000000,top
"JR4","ROW4","PinHeader_2x08_P2.54mm_Vertical",123.698000,-140.700210,180.000000,top
"JR5","ROW5","PinHeader_2x08_P2.54mm_Vertical",133.604000,-140.716000,180.000000,top
"JR6","ROW6","PinHeader_2x08_P2.54mm_Vertical",143.510000,-140.716000,180.000000,top
"JR7","ROW7","PinHeader_2x08_P2.54mm_Vertical",153.416000,-140.716000,180.000000,top
"JR8","ROW8","PinHeader_2x08_P2.54mm_Vertical",163.228000,-140.716000,180.000000,top
"JSPI1","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",152.469000,-79.562000,-90.000000,top
"JSPI2","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",157.295000,-79.562000,-90.000000,top
"JSPI3","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",162.121000,-79.562000,-90.000000,top
"JSPI4","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",152.469000,-67.751000,-90.000000,top
"JSPI5","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",157.295000,-67.751000,-90.000000,top
"JSPI6","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",162.121000,-67.751000,-90.000000,top
"JSPI7","Conn_01x06","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical_SilkSafe",160.722000,-63.569000,180.000000,top
"L1","3.3uH","L_Sunlord_MWSA0604S",95.377000,-85.471000,0.000000,top
"Q1","AOD4184A","TO-252-2",111.578500,-70.407000,90.000000,top
"Q2","MMBT3904","SOT-23",109.855000,-80.820500,90.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",94.424338,-73.539627,-90.000000,top
"R2","33.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",91.720844,-75.063384,180.000000,top
"R3","1.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.728000,-77.851000,180.000000,top
"R4","330","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",106.680000,-86.428000,-90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.116500,-91.313000,180.000000,top
"R6","47R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",101.346000,-92.250500,-90.000000,top
"R7","2.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",143.510000,-102.870000,-90.000000,top
"R8","2.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.860000,-97.432500,90.000000,top
"R9","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",92.352500,-120.142000,180.000000,top
"R10","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",112.164500,-120.142000,180.000000,top
"R11","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",102.258500,-120.142000,180.000000,top
"R12","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",122.070500,-120.126210,180.000000,top
"R13","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.976500,-120.142000,180.000000,top
"R14","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.788500,-120.142000,180.000000,top
"R15","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.567500,-120.142000,180.000000,top
"R16","3.3k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",141.882500,-120.142000,180.000000,top
"R17","2.2k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",109.093000,-93.218000,0.000000,top
"R18","10R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",112.649000,-78.867000,-90.000000,top
"U1","AP62300TWU","TSOT-23-6",95.752500,-77.172011,180.000000,top
"U2","CD74HC4067SM96","SSOP-24_5.3x8.2mm_P0.65mm",115.570000,-88.773000,90.000000,top
"U3","LM4040DBZ-3","SOT-23",104.968000,-91.948000,90.000000,top
"U4","RaspberryPi_Pico","RaspberryPi_Pico_Common_THT_CustomSilk",115.189000,-105.664000,90.000000,top
"U5","74HC138","SOIC-16_3.9x9.9mm_P1.27mm",157.988000,-95.123000,90.000000,top
"U6","TM1639 (TA2009B)","SOP-24_7.5x15.4mm_P1.27mm",157.988000,-109.093000,0.000000,top
"U7","74HC138","SOIC-16_3.9x9.9mm_P1.27mm",175.514000,-130.810000,180.000000,top
