Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D47,BAT54J,D_SOD-323F,157.051,-122.936,180.0,top
D48,BAT54J,D_SOD-323F,157.051,-138.176,180.0,top
D49,BAT54J,D_SOD-323F,157.051,-128.016,180.0,top
D5,BAT54J,D_SOD-323F,97.615,-125.476,180.0,top
D50,BAT54J,D_SOD-323F,157.051,-135.636,180.0,top
D51,BAT54J,D_SOD-323F,166.868,-130.556,180.0,top
D52,BAT54J,D_SOD-323F,166.868,-125.476,180.0,top
D53,BAT54J,D_SOD-323F,166.868,-128.016,180.0,top
D54,BAT54J,D_SOD-323F,166.868,-122.936,180.0,top
D55,BAT54J,D_SOD-323F,166.868,-133.096,180.0,top
D56,BAT54J,D_SOD-323F,166.868,-138.176,180.0,top
D57,BAT54J,D_SOD-323F,166.868,-135.636,180.0,top
D58,BAT54J,D_SOD-323F,97.615,-140.716,180.0,top
D59,BAT54J,D_SOD-323F,107.526,-140.716,180.0,top
D6,BAT54J,D_SOD-323F,107.526,-128.016,180.0,top
D60,BAT54J,D_SOD-323F,117.432,-140.716,180.0,top
D61,BAT54J,D_SOD-323F,137.234,-140.716,180.0,top
D62,BAT54J,D_SOD-323F,127.338,-140.70021,180.0,top
D63,BAT54J,D_SOD-323F,157.051,-140.716,180.0,top
D64,BAT54J,D_SOD-323F,147.145,-140.716,180.0,top
D65,BAT54J,D_SOD-323F,166.868,-140.716,180.0,top
D7,BAT54J,D_SOD-323F,97.615,-128.016,180.0,top
D8,BAT54J,D_SOD-323F,107.526,-130.556,180.0,top
D9,BAT54J,D_SOD-323F,97.615,-130.556,180.0,top
J1,PWM,PinHeader_1x03_P2.54mm_Vertical,111.775,-63.119,90.0,top
J2,DC Supply,BarrelJack_Horizontal,100.534,-68.4485,0.0,top
J26,LED6,PinHeader_2x08_P2.54mm_Vertical,177.927,-79.556428,90.0,top
J27,LED5,PinHeader_2x08_P2.54mm_Vertical,177.927,-87.140142,90.0,top
J28,LED7,PinHeader_2x08_P2.54mm_Vertical,177.927,-71.972714,90.0,top
